"","HOFm","HOFs","Yrs","WAR","WAR7","JAWS","Jpos","Batter_G","AB","R","Batter_H","Batter_HR","RBI","SB","Batter_BB","BA","OBP","SLG","OPS","OPS+","HoF"
"1",108,30,19,23.8,18.1,20.9,44.3,2059,7290,807,2043,188,909,15,308,0.28,0.319,0.42,0.739,94,0
"2",4,14,12,13.6,15.3,14.4,56.3,1152,3871,519,1017,126,555,107,303,0.263,0.326,0.425,0.751,94,0
"3",75,32,14,17.9,17.7,17.8,53.4,2001,6883,1097,1631,462,1168,63,1317,0.237,0.364,0.49,0.854,124,0
"4",163,55,21,93.5,48.7,71.1,56.3,2933,11068,1524,3166,477,1707,121,848,0.286,0.339,0.48,0.819,116,1
"5",90,31,15,43.5,34.6,39.1,53.4,1929,7139,997,2050,317,1202,6,782,0.287,0.358,0.485,0.843,129,0
"6",119,40,20,70.6,44.8,57.7,55.5,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,0
"7",390,77,22,117.6,64.3,90.9,55.5,2784,10566,2021,3115,696,2086,329,1338,0.295,0.38,0.55,0.93,140,0
"8",105,31,16,28.6,27.6,28.1,53.4,1975,7750,1152,2095,412,1159,289,496,0.27,0.319,0.5,0.819,112,0
"9",21,18,12,21.5,18.8,20.2,56.7,1455,4800,641,1367,162,687,29,519,0.285,0.359,0.463,0.822,122,0
"10",109,34,17,62.7,46.4,54.6,58.2,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111,0
"11",85,39,18,32.4,29.4,30.9,56.3,2194,8136,1098,2303,386,1417,29,633,0.283,0.341,0.492,0.833,115,0
"12",30,20,13,20.5,22.7,21.6,53.4,1681,6104,806,1699,242,904,37,571,0.278,0.342,0.464,0.806,114,0
"13",340,77,22,162.8,72.7,117.8,53.4,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,0
"14",95,54,18,60.2,41.6,50.9,56.7,2425,8480,1453,2470,288,1363,400,1476,0.291,0.395,0.475,0.87,128,0
"15",80,25,18,16.5,15.1,15.8,44.3,1971,6279,718,1579,80,607,102,634,0.251,0.325,0.344,0.669,75,0
"16",68,28,17,28.4,24.8,26.6,57.1,1902,7378,1005,2029,211,951,209,420,0.275,0.32,0.42,0.74,95,0
"17",53,41,15,51.1,37.4,44.2,56.7,1847,6527,1121,1897,287,1078,109,1183,0.291,0.4,0.502,0.902,137,0
"18",34,24,14,29.5,28.1,28.8,57.1,1418,5531,850,1527,97,542,285,609,0.276,0.347,0.409,0.756,101,0
